State,2014 CO2 emissions (millions of metric tons)
Alabama,123
Alaska,35
Arizona,93
Arkansas,69
California,358
Colorado,92
Connecticut,35
Delaware,13
District of Columbia,3
Florida,228
Georgia,140
Hawaii,18
Idaho,17
Illinois,234
Indiana,207
Iowa,82
Kansas,70
Kentucky,139
Louisiana,218
Maine,17
Maryland,62
Massachusetts,64
Michigan,163
Minnesota,95
Mississippi,64
Missouri,132
Montana,32
Nebraska,52
Nevada,37
New Hampshire,15
New Jersey,114
New Mexico,50
New York,170
North Carolina,127
North Dakota,59
Ohio,232
Oklahoma,105
Oregon,38
Pennsylvania,245
Rhode Island,11
South Carolina,75
South Dakota,15
Tennessee,104
Texas,642
Utah,65
Vermont,6
Virginia,104
Washington,73
West Virginia,98
Wisconsin,101
Wyoming,66
