state,num,FIPS
Alabama,123,1
Alaska,35,2
Arizona,93,4
Arkansas,69,5
California,358,6
Colorado,92,8
Connecticut,35,9
Delaware,13,10
Florida,228,12
Georgia,140,13
Hawaii,18,15
Idaho,17,16
Illinois,234,17
Indiana,207,18
Iowa,82,19
Kansas,70,20
Kentucky,139,21
Louisiana,218,22
Maine,17,23
Maryland,62,24
Massachusetts,64,25
Michigan,163,26
Minnesota,95,27
Mississippi,64,28
Missouri,132,29
Montana,32,30
Nebraska,52,31
Nevada,37,32
New Hampshire,15,33
New Jersey,114,34
New Mexico,50,35
New York,170,36
North Carolina,127,37
North Dakota,59,38
Ohio,232,39
Oklahoma,105,40
Oregon,38,41
Pennsylvania,245,42
Rhode Island,11,44
South Carolina,75,45
South Dakota,15,46
Tennessee,104,47
Texas,642,48
Utah,65,49
Vermont,6,50
Virginia,104,51
Washington,73,53
West Virginia,98,54
Wisconsin,101,55
Wyoming,66,56
